Alloy,Tg,Tx,Tl,TEN,VA,d,Sm,Dmax
Ti50Cu42.5Ni7.5,670,708,1226,1.76,13.27,0.1,7.9,0.2
Zr70Al8Cu19Ni3,630,689,1200,1.48,18.38,0.13,7.92,0.2
Zr70Al8Cu3Ni19,640,710,1220,1.48,18.11,0.15,8.05,0.2
Ag46.2Mg15.4Ca38.4,407,439,809,1.48,16.48,0.1,8.79,0.3
Ag53.8Mg7.7Ca30.8Cu7.7,428,488,843,1.59,15.55,0.1,9.45,0.3
Cu60Zr20Hf10Ti10,754,797,1197,1.7,14.23,0.13,9.71,0.3
Mg70Ni20La10,447,475,791,1.41,13.53,0.15,7.53,0.4
Ca55Mg15Zn30,387,419,696,1.24,16.6,0.16,9.02,0.5
Ca55Mg18Zn27,389,419,671,1.23,16.73,0.15,9.11,0.5
Ca60Mg10Zn30,380,400,666,1.23,17.16,0.16,8.38,0.5
Ca70Mg10Zn20,367,399,657,1.16,18.68,0.14,7.38,0.5
Ca70Mg15Zn15,371,397,688,1.14,18.89,0.13,7.43,0.5
Ca65Mg25Zn10,387,405,759,1.14,18.54,0.12,7.69,0.5
Ca65Mg25Cu10,405,429,691,1.17,18.74,0.11,7.58,0.5
Mg71Ni18La11,451,479,796,1.39,13.86,0.16,7.51,0.5
Ca70Mg20Cu10,356,385,702,1.15,19.3,0.11,7.09,0.5
Ag38.4Mg30.8Ca30.8,394,426,805,1.45,15.55,0.1,9.45,0.5
Mg69Ni18La13,449,478,797,1.39,14.37,0.17,7.91,0.5
Ag38.4Mg38.5Ca15.4Cu7.7,405,436,842,1.55,13.68,0.09,10.43,0.5
Mg65Ni20La15,451,480,812,1.4,14.8,0.18,8.5,0.5
Ca40Mg30Cu30,395,430,694,1.36,15.55,0.13,9.67,0.5
Ag61.5Mg23.1Ca15.4,440,485,919,1.64,14.08,0.08,7.93,0.5
Ag53.8Mg23.1Ca15.4Cu7.7,407,463,877,1.64,13.84,0.08,9.89,0.5
Ca45Mg19Cu36,399,428,714,1.38,15.98,0.13,9.33,0.5
Ag53.8Mg15.4Ca23.1Cu7.7,433,463,831,1.62,14.7,0.1,9.96,0.5
Ca65Mg5Cu30,403,424,757,1.29,18.32,0.13,7.17,0.5
Ca55Mg10Cu35,397,422,770,1.35,17.11,0.13,8.37,0.5
Cu54.5Mg27.3Ca18.2,402,419,921,1.58,12.61,0.11,8.76,0.5
La70Al14Cu8Ni8,404,429,763,1.3,28.46,0.21,9.3,0.5
La70.0Al12.4Cu8.8Ni8.8,397,418,759,1.3,28.48,0.21,9.35,0.5
Ni42Ti20Zr25Al8Cu5,748,803,1366,1.68,13.47,0.16,12.41,0.5
Ni60Nb20Zr20,853,891,1391,1.73,12.98,0.16,8.82,0.5
Mg80Ni10Nd10,454,471,878,1.35,13.59,0.13,5.97,0.6
Zr45Ti21Ni34,642,683,1134,1.59,16.42,0.15,9.55,0.68
Ca55Mg25Zn20,375,418,751,1.21,17.02,0.14,9.06,1
Ca60Mg25Zn15,377,409,744,1.18,17.78,0.13,8.47,1
Al33.6Ca66.4,528,540,873,1.2,17.66,0.16,6.31,1
Mg65Cu25Pr10,413,446,784,1.44,13.54,0.14,7.81,1
Mg65Cu25Nd10,423,456,744,1.44,13.44,0.13,7.78,1
Mg65Cu20Y10Zn5,404,456,748,1.44,12.81,0.11,8.65,1
Ce55Al25Cu20,439,479,825,1.4,23.34,0.23,10.22,1
Ca55Mg11Zn11Cu23,379,430,717,1.31,16.9,0.14,10.34,1
Ce70Al10Cu19Zn1,343,391,743,1.32,27.54,0.19,8.37,1
Mg65Cu25Ho10,417,473,751,1.45,13.01,0.11,7.61,1
Ca45Mg30Cu25,401,436,717,1.32,16.21,0.13,9.47,1
Ag46.2Mg23.1Ca30.7,399,426,765,1.5,15.62,0.1,9.15,1
Ag53.8Mg23.1Ca23.1,451,488,887,1.57,14.86,0.09,8.71,1
Ca70Mg10Cu20,385,407,713,1.21,19.09,0.12,7.16,1
Ce70Al15Ni15,368,387,738,1.31,27.2,0.21,8.4,1
Ca60Mg15Cu25,396,428,687,1.27,17.87,0.13,8.38,1
Ag53.8Mg15.4Ca30.8,444,498,812,1.55,15.71,0.1,8.53,1
Ca60Mg13Cu27,394,426,701,1.28,17.83,0.13,8.29,1
Ag61.5Mg15.4Ca23.1,486,526,920,1.62,14.94,0.09,7.99,1
Ag46.2Mg15.4Ca30.7Cu7.7,414,445,805,1.55,15.46,0.1,10.41,1
Ce60Al10Cu20Ni10,374,441,672,1.4,24.8,0.22,10.77,1
Ce60Al20Co20,424,468,798,1.37,24.5,0.23,9.81,1
Ce70Al10Ni20,373,399,775,1.33,27.23,0.21,8.23,1
Cu54.5Mg18.2Ca27.3,401,423,884,1.55,13.62,0.13,8.9,1
Mg50Ni30La20,453,510,841,1.45,15.7,0.2,10.02,1
La68Al14(CuNi)18,405,431,724,0.97,26.3,0.27,3.99,1
La68.0Al13.2Cu9.4Ni9.4,400,426,743,1.32,27.9,0.21,9.74,1
Cu57.5Zr37.5Ga5,745,785,1241,1.68,14.34,0.14,7.72,1
Ti42.3Cu35.532Zr9.40Ni6.768Sn6,683,739,1169,1.73,14.01,0.11,11.3,1
Cu55Zr42.5Ga2.5,709,762,1199,1.66,15.03,0.14,7.28,1
Ti43.2Cu36.288Zr9.6Ni6.912Sn4,666,715,1156,1.73,14.07,0.11,11,1
Ti50Ni15Cu32Sn3,686,759,1283,1.76,13.2,0.11,9.57,1
Cu47Ni13Zr30Ti10,727,754,1251,1.7,14.02,0.14,10.8,1
